term,event_time,estimate,se,ci_low,ci_high
Tm4,-4,-.0037390494,.16994961,-.33683413,.32935604
Tm3,-3,.071014263,.11203597,-.14857221,.29060072
Tm2,-2,.0098960027,.11649215,-.21842441,.23821642
Tm1,-1,-.069771543,.11800866,-.30106425,.16152117
Tp0,0,1.0435214,.11315823,.82173538,1.2653075
Tp1,1,1.4054838,.11264675,1.1847003,1.6262673
Tp2,2,1.5714124,.16848889,1.2411803,1.9016446
Tp3,3,1.9775035,.17704049,1.6305106,2.3244965
Post_avg,,1.4994802,.11093688,1.282048,1.7169126
Pre_avg,,.0018499172,.040595934,-.077716649,.08141648
